Year,Month,Day,SPY,XOM,GOOG,GLD
2008,1,2,137.67,87.81,685.19,84.86
2008,1,3,137.6,88.11,685.33,85.57
2008,1,4,134.23,86.47,657,85.13
2008,1,7,134.11,85.66,649.25,84.77
2008,1,8,131.95,84.56,631.68,86.78
2008,1,9,133.34,85.98,653.2,86.55
2008,1,10,134.21,86.08,646.73,88.25
2008,1,11,133.13,84.8,638.25,88.58
2008,1,14,134.2,85.3,653.82,89.54
2008,1,15,131.25,83.6,637.65,87.99
2008,1,16,130.11,81.26,615.95,86.7
2008,1,17,126.74,78.8,600.79,86.5
2008,1,18,125.44,79.9,600.25,87.42
2008,1,22,124.17,77.43,584.35,88.17
2008,1,23,127.15,78.37,548.62,87.89
2008,1,24,128.22,80.76,574.49,90.08
2008,1,25,126.37,78.83,566.4,90.3
2008,1,28,128.46,79.94,555.98,91.75
2008,1,29,129.1,79.9,550.52,91.15
2008,1,30,128.15,80.08,548.27,92.06
2008,1,31,130.49,80.48,564.3,91.4
2008,2,1,132.58,80.71,515.9,89.35
2008,2,4,130.91,80.23,495.43,89.1
2008,2,5,127.41,77.11,506.8,87.68
2008,2,6,126.38,76.48,501.71,88.95
2008,2,7,127.22,77.23,504.95,89.85
2008,2,8,126.4,77.06,516.69,91
2008,2,11,127.05,78.49,521.16,91.33
2008,2,12,128.22,79.58,518.09,89.33
2008,2,13,129.54,80.63,534.62,89.44
2008,2,14,128.4,80.68,532.25,89.71
2008,2,15,128.37,80.51,529.64,89.15
2008,2,19,128.73,82.06,508.95,91.58
2008,2,20,129.11,83.09,509,93.24
2008,2,21,128.03,81.98,502.86,93.25
2008,2,22,128.82,82.21,507.8,93.39
2008,2,25,130.45,84.06,486.44,92.74
2008,2,26,131.43,84.78,464.19,93.71
2008,2,27,131.29,84.31,472.86,94.78
2008,2,28,130.01,84.3,475.39,95.99
2008,2,29,127.11,82.06,471.18,96.18
2008,3,3,126.81,82.76,457.02,97.24
2008,3,4,126.32,81.76,444.6,95.18
2008,3,5,127.12,82.23,447.7,97.72
2008,3,6,124.49,79.7,432.7,96.5
2008,3,7,123.21,77.8,433.35,96.09
2008,3,10,121.58,77.77,413.62,95.87
2008,3,11,125.95,81.75,439.84,95.99
2008,3,12,124.78,81.08,440.18,97.01
2008,3,13,125.05,82.1,443.01,98.34
2008,3,14,123.11,81.02,437.92,98.71
2008,3,17,121.87,80.91,419.87,99.17
2008,3,18,126.93,83.44,439.16,96.5
2008,3,19,123.79,79.63,432,93.04
2008,3,20,126.08,80.17,433.55,89.91
2008,3,24,128.6,81.06,460.56,90.1
2008,3,25,128.73,80.35,450.78,92.73
2008,3,26,127.15,81.35,458.19,93.8
2008,3,27,126.75,81.3,444.08,93.46
2008,3,28,125.54,80.37,438.08,91.88
2008,3,31,125.98,79.77,440.47,90.41
2008,4,1,130.41,82.07,465.71,86.86
2008,4,2,130.49,83.49,465.7,89.27
2008,4,3,130.82,83.21,455.12,89.42
2008,4,4,130.67,83.69,471.09,90.25
2008,4,7,130.74,83.86,476.82,91.17
2008,4,8,130.61,84.51,467.81,90.35
2008,4,9,129.66,84.6,464.19,92.29
2008,4,10,129.84,84.46,469.08,91.77
2008,4,11,127.32,83.58,457.45,91.3
2008,4,14,126.89,84.6,451.66,91.11
2008,4,15,127.19,85.64,446.84,91.66
2008,4,16,130.63,87.61,455.03,93.27
2008,4,17,130.83,88.07,449.54,92.56
2008,4,18,132.19,88.65,539.41,90.62
2008,4,21,132.26,88.9,537.79,90.25
2008,4,22,131.68,89.02,555,90.27
2008,4,23,131.47,88.86,546.49,89.22
2008,4,24,132.04,87.33,543.04,87.22
2008,4,25,133.26,87.2,544.06,87.27
2008,4,28,133.29,87.19,552.12,87.69
2008,4,29,132.76,86.57,558.47,85.81
2008,4,30,131.98,87.78,574.29,86.65
2008,5,1,134.71,84.6,593.08,83.99
2008,5,2,135.08,84.51,581.29,84.58
2008,5,5,134.43,84.42,594.9,86.27
2008,5,6,135.6,84.95,586.36,86.63
2008,5,7,133.18,83.77,579,85.82
2008,5,8,132.84,84.82,583.01,87.24
2008,5,9,132.59,84.14,573.2,87.42
2008,5,12,134.08,84.49,584.94,86.99
2008,5,13,134.1,84.96,583,85.39
2008,5,14,134.38,85.18,576.3,85.2
2008,5,15,136.06,86.49,581,87
2008,5,16,136.18,87.79,580.07,89.1
2008,5,19,136.55,89.39,577.52,89.39
2008,5,20,135.45,89.58,578.6,90.9
2008,5,21,133.16,88.74,549.99,91.96
2008,5,22,133.17,87.64,549.46,90.98
2008,5,23,131.39,85.92,544.62,91.23
2008,5,27,132.36,85.07,560.9,89.36
2008,5,28,132.97,85.67,568.24,89.14
2008,5,29,133.64,84.64,583,86.51
2008,5,30,133.98,84.09,585.8,87.45
2008,6,2,132.59,83.19,575,87.96
2008,6,3,131.82,81.2,567.3,86.88
2008,6,4,131.75,81.23,572.22,86.65
2008,6,5,134.39,84.61,586.3,86.45
2008,6,6,130.1,82.22,567,89.06
2008,6,9,130.42,84.38,557.87,87.99
2008,6,10,129.77,83.26,554.17,85.55
2008,6,11,127.86,83.94,545.2,87.02
2008,6,12,128.34,82.48,552.95,85.6
2008,6,13,129.97,83.71,571.51,85.83
2008,6,16,130.04,83.36,572.81,87.01
2008,6,17,129.41,83.95,569.46,87.25
2008,6,18,128.15,83.2,562.38,88.28
2008,6,19,128.32,81.27,560.2,88.42
2008,6,20,126.23,80.44,546.43,88.95
2008,6,23,126.11,83.08,545.21,87.09
2008,6,24,125.86,82.34,542.3,87.47
2008,6,25,126.45,82.99,551,87.42
2008,6,26,123.02,81.86,528.82,90.61
2008,6,27,122.35,81.99,528.07,91.47
2008,6,30,122.78,83.49,526.42,91.4
2008,7,1,123.16,83.7,534.73,92.66
2008,7,2,121.05,82.81,527.04,93.17
2008,7,3,121.18,83.62,537,92.06
2008,7,7,119.94,82.37,543.91,91.23
2008,7,8,122.07,81.41,554.53,90.86
2008,7,9,119.72,79.87,541.55,91.5
2008,7,10,120.21,81.53,540.57,93.53
2008,7,11,118.81,80.98,533.8,95.16
2008,7,14,117.73,80.92,521.62,95.91
2008,7,15,116.07,77.86,516.09,96.17
2008,7,16,118.92,76.55,535.6,94.44
2008,7,17,120.11,76.1,533.44,94.22
2008,7,18,120.86,77.25,481.32,94.17
2008,7,21,120.93,78.61,468.8,95.12
2008,7,22,122.3,78.5,477.11,93.06
2008,7,23,122.96,76.72,489.22,90.57
2008,7,24,120.41,76.54,475.62,91.33
2008,7,25,120.38,77.4,491.98,91.69
2008,7,28,118.62,76.43,477.12,91.73
2008,7,29,121.15,76.64,483.11,90.59
2008,7,30,123.31,79.94,482.7,89.52
2008,7,31,121.68,76.19,473.75,90.08
2008,8,1,121.03,75.52,467.86,89.57
2008,8,4,119.91,72.57,463,88.14
2008,8,5,123.14,74.22,479.85,86.08
2008,8,6,123.69,74.21,486.34,86.64
2008,8,7,121.85,73.36,479.12,86.09
2008,8,8,124.11,74.57,495.01,84.43
2008,8,11,125.4,74.42,500.84,81.13
2008,8,12,124.09,73.2,502.61,80.52
2008,8,13,123.34,74.43,500.03,81.56
2008,8,14,124.28,73.75,505.49,79.35
2008,8,15,124.88,73.38,510.15,77.63
2008,8,18,123.17,72.87,498.3,78.8
2008,8,19,121.83,74.22,490.5,80.43
2008,8,20,122.4,75.04,485,80.06
2008,8,21,122.61,76.51,486.53,82.3
2008,8,22,124.38,76.46,490.59,81.08
2008,8,25,121.86,74.95,483.01,80.93
2008,8,26,122.21,76.13,474.16,81.23
2008,8,27,123.4,76.62,468.58,81.36
2008,8,28,124.9,77.3,473.78,82.18
2008,8,29,123.56,76.18,463.29,81.71
2008,9,2,122.79,73.62,465.25,79.2
2008,9,3,122.68,74.29,464.41,78.89
2008,9,4,118.99,72.5,450.26,78.39
2008,9,5,119.36,72,444.25,78.98
2008,9,8,121.83,73.1,419.95,78.86
2008,9,9,118.21,69.76,418.66,76.49
2008,9,10,118.69,71.65,414.16,74.22
2008,9,11,120.41,71.95,433.75,73.08
2008,9,12,120.97,73.79,437.66,75.55
2008,9,15,115.21,69.75,433.86,77.56
2008,9,16,117.14,72.77,442.93,76.79
2008,9,17,111.87,71.68,414.49,85.46
2008,9,18,115.19,74.03,439.08,82.8
2008,9,19,119.76,75.8,449.15,85.98
2008,9,22,117.05,75.11,430.14,89.18
2008,9,23,114.39,73.97,429.27,88.32
2008,9,24,114.76,74.3,435.11,86.71
2008,9,25,116.55,76.81,439.6,86.45
2008,9,26,116.61,76.79,431.04,86.64
2008,9,29,107.47,70.52,381,89.57
2008,9,30,111.92,73.95,400.52,85.07
2008,10,1,111.99,74.82,411.72,85.97
2008,10,2,107.93,73.79,390.49,82.33
2008,10,3,106.47,74.21,386.91,82.59
2008,10,6,101.05,73.62,371.21,84.28
2008,10,7,96.52,72.43,346.01,87.27
2008,10,8,94.09,73.32,338.11,89.42
2008,10,9,87.52,64.75,328.98,89.9
2008,10,10,85.39,59.38,332,83.22
2008,10,13,97.79,69.59,381.02,81.99
2008,10,14,96.35,68.99,362.71,82.2
2008,10,15,86.86,59.37,339.17,83.31
2008,10,16,90.48,66.13,353.02,79.29
2008,10,17,89.94,64.79,372.54,77.21
2008,10,20,95.34,71.4,379.32,78.5
2008,10,21,92.5,68.08,362.75,76.03
2008,10,22,87.46,61.48,355.67,71.71
2008,10,23,88.47,67.02,352.32,70.65
2008,10,24,83.99,65.74,339.29,72.21
2008,10,27,81,62.93,329.49,72.18
2008,10,28,90.47,71.28,368.75,73.79
2008,10,29,89.81,71.08,358,74
2008,10,30,92.92,71.46,359.69,72.71
2008,10,31,93.43,70.58,359.36,71.34
2008,11,3,93.7,70.74,346.49,71.1
2008,11,4,96.89,73.78,366.94,75.48
2008,11,5,92.81,70.17,342.24,72.8
2008,11,6,87.67,66.61,331.22,72.22
2008,11,7,90.57,70.82,331.14,72.5
2008,11,10,89.38,70.89,318.78,73.58
2008,11,11,86.62,69.57,311.46,72.05
2008,11,12,82.81,66.01,291,70
2008,11,13,87.97,72.22,312.08,72.15
2008,11,14,83.58,70.56,310.02,73.3
2008,11,17,82.47,70.27,300.12,72.65
2008,11,18,84.02,73.1,297.42,72.51
2008,11,19,78.64,70.31,280.18,72.26
2008,11,20,72.8,65.61,259.56,73.45
2008,11,21,76.73,72.6,262.43,78.85
2008,11,24,82.05,75.46,257.44,80.91
2008,11,25,82.65,74.8,282.05,80.87
2008,11,26,85.85,77.46,292.09,80.38
2008,11,28,86.93,76.76,292.96,80.31
2008,12,1,79.23,71.16,265.99,75.65
2008,12,2,82.28,74.32,275.11,76.95
2008,12,3,84.26,75.59,279.43,76.18
2008,12,4,82.31,73.04,274.34,75.5
2008,12,5,84.84,73.36,283.99,74.52
2008,12,8,87.81,76.23,302.11,76.2
2008,12,9,86.36,74.89,305.97,76.33
2008,12,10,86.95,76.68,308.82,79.75
2008,12,11,84.85,76.63,300.22,80.65
2008,12,12,85.87,77.04,315.76,80.81
2008,12,15,84.67,76.56,310.67,82.6
2008,12,16,88.66,79.62,325.28,84.46
2008,12,17,87.8,77.63,315.24,85.43
2008,12,18,86.16,73.74,310.28,83.87
2008,12,19,85.79,71.84,310.17,82.63
2008,12,22,84.69,71.74,297.11,83.46
2008,12,23,83.81,71.92,298.02,82.63
2008,12,24,84.3,72.57,302.95,83.46
2008,12,26,84.78,73.92,300.36,85.6
2008,12,29,84.54,74.72,297.42,86.35
2008,12,30,86.55,75.26,303.11,85.9
2008,12,31,87.78,76.45,307.65,86.52
2009,1,2,90.43,78.18,321.32,86.23
2009,1,5,90.32,78.17,328.05,84.48
2009,1,6,90.92,76.9,334.06,85.13
2009,1,7,88.2,74.94,322.01,82.75
2009,1,8,88.56,75.74,325.19,84.46
2009,1,9,86.66,74.29,315.07,83.92
2009,1,12,84.58,73.3,312.69,80.76
2009,1,13,84.74,74.62,314.32,80.88
2009,1,14,82.07,71.92,300.97,79.79
2009,1,15,82.1,73.41,298.99,80.39
2009,1,16,82.74,74.79,299.67,82.71
2009,1,20,78.37,73.06,282.75,84.52
2009,1,21,81.76,75.9,303.08,84.15
2009,1,22,80.49,74.92,306.5,84.58
2009,1,23,80.84,74.74,324.7,88.53
2009,1,26,81.4,75.27,323.87,88.95
2009,1,27,82.23,75.58,331.48,88.38
2009,1,28,85.01,75.89,348.67,87.42
2009,1,29,82.25,73.74,343.32,89.5
2009,1,30,80.57,73.24,338.53,91.31
2009,2,2,80.33,73.44,340.57,88.84
2009,2,3,81.46,74.81,340.45,88.47
2009,2,4,81.06,74.37,343,89.18
2009,2,5,82.27,76.4,353.72,90.12
2009,2,6,84.61,77.33,371.28,89.59
2009,2,9,84.73,76.5,378.77,88.32
2009,2,10,80.84,73.28,358.51,90.21
2009,2,11,81.32,71.78,358.04,92.29
2009,2,12,81.38,72.4,363.05,93.17
2009,2,13,80.5,71.79,357.68,92.55
2009,2,17,77.06,68.61,342.66,95.45
2009,2,18,76.88,69.24,353.11,96.91
2009,2,19,76.05,69.45,342.64,95.77
2009,2,20,75.31,68.56,346.45,97.8
2009,2,23,72.62,66.7,330.06,97.73
2009,2,24,75.37,69.39,345.45,94.73
2009,2,25,74.77,69.35,341.64,93.15
2009,2,26,73.56,68.29,337.18,93.06
2009,2,27,71.92,65.35,337.99,92.63
2009,3,2,68.68,62.47,327.16,90.93
2009,3,3,68.16,61.95,325.48,90.04
2009,3,4,69.78,63.22,318.92,88.99
2009,3,5,66.92,59.89,305.64,91.99
2009,3,6,67.04,61.63,308.57,92.29
2009,3,9,66.25,62.15,290.89,90.57
2009,3,10,70.2,64.86,308.17,88.14
2009,3,11,70.66,63.3,317.91,89.22
2009,3,12,73.44,64.63,323.53,91.1
2009,3,13,74.02,64.68,324.42,91.3
2009,3,16,73.79,64.46,319.69,90.8
2009,3,17,76.05,66.5,335.34,90.04
2009,3,18,77.75,66.57,333.1,93.09
2009,3,19,76.79,65.77,329.94,94.35
2009,3,20,75.15,63.61,330.16,93.59
2009,3,23,80.55,67.88,348.6,92.08
2009,3,24,78.96,66.78,347.17,90.95
2009,3,25,79.8,67.53,344.07,91.98
2009,3,26,81.42,68.56,353.29,91.93
2009,3,27,79.95,67.35,347.7,90.69
2009,3,30,77.19,66.05,342.69,89.98
2009,3,31,77.91,65.54,348.06,90.28
2009,4,1,79.42,66.63,354.09,91.03
2009,4,2,81.74,67.61,362.5,88.8
2009,4,3,82.55,67.8,369.78,87.59
2009,4,6,81.9,67.42,368.24,85.27
2009,4,7,79.99,66.13,358.65,86.74
2009,4,8,80.86,66.37,362,86.61
2009,4,9,84.07,67.22,372.5,86.31
2009,4,13,84.09,65.47,378.11,87.88
2009,4,14,82.64,65.16,368.91,87.37
2009,4,15,83.52,65.58,379.5,87.5
2009,4,16,84.74,64.88,388.74,85.81
2009,4,17,85.31,64.25,392.24,85.22
2009,4,20,81.74,62.84,379.3,86.95
2009,4,21,83.33,63.74,381.47,86.89
2009,4,22,82.82,62.32,383.86,87.38
2009,4,23,83.64,63.24,384.69,88.8
2009,4,24,84.9,64.07,389.49,89.72
2009,4,27,84.1,63.65,385.95,89.01
2009,4,28,83.83,64.56,383.71,87.75
2009,4,29,85.62,65.87,391.47,88.33
2009,4,30,85.65,64.17,395.97,87.27
2009,5,1,86.11,65.46,393.69,86.95
2009,5,4,89.04,65.64,401.98,88.64
2009,5,5,88.73,65.11,402.99,88.25
2009,5,6,90.27,66.01,403.47,89.54
2009,5,7,89.02,66.34,396.61,89.44
2009,5,8,91.09,68.14,407.33,89.98
2009,5,11,89.39,67.07,407.98,89.69
2009,5,12,89.12,68.57,399.01,90.7
2009,5,13,86.88,67.55,389.54,91.09
2009,5,14,87.63,67.54,387.5,91.03
2009,5,15,86.91,66.91,390,91.55
2009,5,18,89.38,68.26,396.84,90.36
2009,5,19,89.27,68.28,398.88,90.96
2009,5,20,88.67,67.4,397.18,92.25
2009,5,21,87.4,66.22,396.5,93.85
2009,5,22,87.21,66.64,393.5,94.15
2009,5,26,89.45,67.59,404.36,93.76
2009,5,27,87.85,66.13,405.56,93.45
2009,5,28,89.08,67.03,410.4,94.24
2009,5,29,90.65,67.15,417.23,96.2
2009,6,1,92.85,69.48,426.56,95.73
2009,6,2,92.93,70.6,428.4,96.36
2009,6,3,91.75,69.79,431.65,94.41
2009,6,4,92.61,70.66,440.28,96.23
2009,6,5,92.63,70.65,444.32,93.71
2009,6,8,92.25,70.84,438.77,93.56
2009,6,9,92.72,70.8,435.62,93.83
2009,6,10,92.48,71.49,432.6,93.86
2009,6,11,92.9,71.7,429,93.7
2009,6,12,93.15,71.44,424.84,92.17
2009,6,15,91.01,70.5,416.77,91.1
2009,6,16,89.78,69.35,416,91.93
2009,6,17,89.69,69.15,415.16,92.35
2009,6,18,90.35,69.17,414.06,91.61
2009,6,19,90.68,68.79,420.09,91.9
2009,6,22,87.96,66.65,407.35,90.54
2009,6,23,88.03,66.76,405.68,90.92
2009,6,24,88.79,66.27,409.29,91.45
2009,6,25,90.72,67.66,415.77,92.31
2009,6,26,90.48,66.86,425.32,92.29
2009,6,29,91.33,68.34,424.14,92.04
2009,6,30,90.59,67.69,421.59,91.18
2009,7,1,90.97,68.32,418.99,92.39
2009,7,2,88.48,66.31,408.49,91.25
2009,7,6,88.47,65.94,409.61,90.76
2009,7,7,86.76,64.44,396.63,90.71
2009,7,8,86.7,64.15,402.49,89.27
2009,7,9,86.87,63.87,410.39,89.51
2009,7,10,86.66,63.05,414.4,89.58
2009,7,13,88.77,63.61,424.3,90.19
2009,7,14,89.27,64.12,424.69,90.81
2009,7,15,91.88,66.27,438.17,92.24
2009,7,16,91.74,66.28,442.6,91.98
2009,7,17,92.74,66.34,430.25,91.93
2009,7,20,93.73,66.75,430.17,93.28
2009,7,21,94.16,68.23,427.9,93.13
2009,7,22,94.14,67.77,427.69,93.44
2009,7,23,96.22,69.33,437.34,93.26
2009,7,24,96.61,69.99,446.72,93.41
2009,7,27,96.9,70.44,444.8,93.71
2009,7,28,96.45,69.61,439.85,92.11
2009,7,29,96.21,69.16,436.24,91.2
2009,7,30,97.21,68.47,445.64,91.62
2009,7,31,97.35,68.15,443.05,93.35
2009,8,3,98.96,68.4,452.21,93.87
2009,8,4,99.21,68.36,453.73,94.68
2009,8,5,98.93,67.8,451.14,94.78
2009,8,6,98.42,67.51,450.36,94.6
2009,8,7,99.71,67.26,457.1,93.75
2009,8,10,99.5,66.98,456.61,92.93
2009,8,11,98.26,66.37,453.94,92.79
2009,8,12,99.31,67.32,458.58,92.95
2009,8,13,100.07,66.97,462.28,93.72
2009,8,14,99.3,66.45,460,93
2009,8,17,96.86,64.83,444.89,91.61
2009,8,18,97.63,64.77,445.28,92.06
2009,8,19,98.48,66.24,443.97,92.53
2009,8,20,99.5,66.82,460.41,92.27
2009,8,21,101.45,68.11,465.24,93.65
2009,8,24,101.44,69.46,468.73,92.34
2009,8,25,101.64,68.85,471.37,92.76
2009,8,26,101.65,69.52,468,92.79
2009,8,27,101.87,69.03,466.06,93.19
2009,8,28,101.85,68.31,464.75,93.87
2009,8,31,100.95,67.36,461.67,93.4
2009,9,1,98.72,66.64,455.76,93.9
2009,9,2,98.35,66.42,453.01,96.19
2009,9,3,99.16,66.49,457.52,97.46
2009,9,4,100.55,67.39,461.3,97.53
2009,9,8,101.42,68.82,458.62,97.43
2009,9,9,102.2,68.68,463.97,97.08
2009,9,10,103.24,68.82,470.94,97.7
2009,9,11,103.22,68.17,472.14,98.78
2009,9,14,103.73,68.19,475.12,97.96
2009,9,15,104.16,67.69,477.54,98.9
2009,9,16,105.74,68.52,488.29,99.91
2009,9,17,105.58,68.03,491.72,99.34
2009,9,18,105.65,68.18,491.46,98.67
2009,9,21,105.38,67.77,497,98.36
2009,9,22,105.99,68.02,499.06,99.67
2009,9,23,105.11,67.22,498.46,98.83
2009,9,24,103.95,67.15,496.77,97.55
2009,9,25,103.4,66.92,492.48,97
2009,9,28,105.25,67.79,498.53,97.05
2009,9,29,104.93,67.28,498.53,97.43
2009,9,30,104.53,66.84,495.85,98.85
2009,10,1,101.93,65.53,487.2,97.89
2009,10,2,101.46,64.86,484.58,98.37
2009,10,5,102.97,65.83,488.52,99.82
2009,10,6,104.45,66.88,498.74,102.28
2009,10,7,104.74,66.89,517.54,102.36
2009,10,8,105.54,67.26,514.18,103.64
2009,10,9,106.18,67.48,516.25,102.84
2009,10,12,106.6,68.32,524.04,103.56
2009,10,13,106.38,68.44,526.11,104.26
2009,10,14,108.21,69.98,535.32,104.18
2009,10,15,108.61,71.05,529.91,102.86
2009,10,16,107.79,71.23,549.85,103.18
2009,10,19,108.69,71.72,552.09,104.23
2009,10,20,108.11,71.13,551.72,103.42
2009,10,21,107.14,71.41,551.1,103.75
2009,10,22,108.23,72.51,554.09,103.92
2009,10,23,106.99,71.67,553.69,103.49
2009,10,26,105.83,71.34,554.21,101.86
2009,10,27,105.35,72.97,548.29,101.85
2009,10,28,103.36,71.93,540.3,100.73
2009,10,29,105.58,72.05,551.05,102.69
2009,10,30,102.52,69.82,536.12,102.53
2009,11,2,103.27,70.28,533.99,103.95
2009,11,3,103.6,69.88,537.29,106.46
2009,11,4,103.86,69.46,540.33,107.1
2009,11,5,105.77,70.62,548.65,106.98
2009,11,6,106.05,70.7,551.1,107.43
2009,11,9,108.47,71.38,562.51,108.19
2009,11,10,108.49,71.14,566.76,108.39
2009,11,11,109.04,71.44,570.56,109.6
2009,11,12,107.93,70.45,567.85,108.21
2009,11,13,108.52,71.01,572.05,109.74
2009,11,16,110.09,72.93,576.28,111.63
2009,11,17,110.22,73.51,577.49,111.97
2009,11,18,110.15,73.75,576.65,112.25
2009,11,19,108.71,73.14,572.99,112.3
2009,11,20,108.33,72.88,569.96,112.94
2009,11,23,109.7,74.17,582.35,114.29
2009,11,24,109.87,74.44,583.09,114.73
2009,11,25,110.26,74.93,585.74,116.62
2009,11,27,108.47,73.36,579.76,115.06
2009,11,30,108.83,73.55,583,115.64
2009,12,1,110.18,74.5,589.87,117.38
2009,12,2,110.13,74.26,587.51,119.18
2009,12,3,109.27,73.48,585.74,118.7
2009,12,4,109.89,72.75,585.01,113.75
2009,12,7,109.72,72.28,586.25,113.11
2009,12,8,108.51,71.48,587.05,110.95
2009,12,9,108.91,71.32,589.02,110.84
2009,12,10,109.53,70.94,591.5,110.82
2009,12,11,109.99,71.36,590.51,109.32
2009,12,14,110.74,68.28,595.73,110.24
2009,12,15,110.23,67.77,593.14,110.21
2009,12,16,110.4,67.05,597.76,111.59
2009,12,17,109.07,66.84,593.94,107.34
2009,12,18,109.69,66.83,596.42,108.95
2009,12,21,110.8,67.13,598.68,106.95
2009,12,22,111.2,67.19,601.12,106.17
2009,12,23,111.42,66.88,611.68,106.55
2009,12,24,111.95,67.27,618.48,108.36
2009,12,28,112.19,67.68,622.87,108.55
2009,12,29,112.03,67.45,619.4,107.47
2009,12,30,111.99,67.38,622.73,106.93
2009,12,31,110.91,66.81,619.98,107.31